"Story","Title","Result","Date","Stability","Duration (s)"
"Login","Login con credenciales incorrectas","ERROR","2025-01-13T18:26:41.5410315-05:00[America/Bogota]","0.0","2.6"
"Login","Realizar una búsqueda en Google.","ERROR","2025-01-13T18:26:44.4395924-05:00[America/Bogota]","0.0","2.67"
