"Story","Title","Result","Date","Stability","Duration (s)"
"diligenciar formulario","diligenciar formulario Text Box","ERROR","2025-02-12T22:40:58.3456619-05:00[America/Bogota]","0.0","282.48"
"Login","Inicio de sesion exitoso","PENDING","2025-02-12T16:47:49.9374031-05:00[America/Bogota]","0.0","212.29"
