"Story","Title","Result","Date","Stability","Duration (s)"
"Login","Realizar una búsqueda en Google.","PENDING","2025-01-13T18:30:42.2387137-05:00[America/Bogota]","0.0","0.24"
"Login","Inicio de sesion exitoso","PENDING","2025-02-12T16:47:49.9374031-05:00[America/Bogota]","0.0","212.29"
