"Story","Title","Result","Date","Stability","Duration (s)"
"Login","Login con credenciales correctas","SUCCESS","2024-12-10T10:04:00.5028139-05:00[America/Bogota]","0.0","40.23"
"Login","Login con credenciales incorrectas","SUCCESS","2024-12-10T10:04:41.3716023-05:00[America/Bogota]","0.0","11.1"
